Deficit	medcode
Skin ulcer	5961
Skin ulcer	19230
Skin ulcer	23724
Skin ulcer	6207
Skin ulcer	1727
Skin ulcer	85657
Skin ulcer	29007
Skin ulcer	22641
Skin ulcer	7093
Skin ulcer	8709
Skin ulcer	35316
Skin ulcer	35116
Skin ulcer	62384
Skin ulcer	49640
Skin ulcer	17592
Skin ulcer	15505
Skin ulcer	4487
Skin ulcer	15506
Skin ulcer	17787
Skin ulcer	17788
Skin ulcer	12764
Skin ulcer	6654
Skin ulcer	65862
Skin ulcer	62265
Skin ulcer	19395
Skin ulcer	85835
Skin ulcer	49675
Skin ulcer	34912
Skin ulcer	49074
Skin ulcer	1913
Skin ulcer	16079
Skin ulcer	12704
Skin ulcer	11264
Skin ulcer	3128
Skin ulcer	9180
Skin ulcer	6862
Skin ulcer	3928
Skin ulcer	24327
Skin ulcer	11663
Skin ulcer	9881
Skin ulcer	11624
Skin ulcer	8801
Skin ulcer	5855
Skin ulcer	3930
Skin ulcer	24232
Skin ulcer	3929
