Deficit	medcode
Cerebrovascular disease	34135
Cerebrovascular disease	13567
Cerebrovascular disease	66873
Cerebrovascular disease	10792
Cerebrovascular disease	18686
Cerebrovascular disease	28914
Cerebrovascular disease	55351
Cerebrovascular disease	13707
Cerebrovascular disease	56458
Cerebrovascular disease	18804
Cerebrovascular disease	32959
Cerebrovascular disease	18687
Cerebrovascular disease	34245
Cerebrovascular disease	34375
Cerebrovascular disease	51465
Cerebrovascular disease	89913
Cerebrovascular disease	11039
Cerebrovascular disease	11074
Cerebrovascular disease	1195
Cerebrovascular disease	2418
Cerebrovascular disease	5051
Cerebrovascular disease	4273
Cerebrovascular disease	17734
Cerebrovascular disease	4240
Cerebrovascular disease	2652
Cerebrovascular disease	8837
Cerebrovascular disease	16517
Cerebrovascular disease	504
Cerebrovascular disease	19354
Cerebrovascular disease	1895
Cerebrovascular disease	16507
Cerebrovascular disease	15788
Cerebrovascular disease	1469
Cerebrovascular disease	8443
Cerebrovascular disease	17322
Cerebrovascular disease	7780
Cerebrovascular disease	11171
Cerebrovascular disease	24385
Cerebrovascular disease	43451
Cerebrovascular disease	6228
Cerebrovascular disease	73901
Cerebrovascular disease	110337
Cerebrovascular disease	5682
Cerebrovascular disease	38304
Cerebrovascular disease	2883
Cerebrovascular disease	58545
Cerebrovascular disease	8181
Cerebrovascular disease	7862
Cerebrovascular disease	53980
