Deficit	medcode
Anaemia & haematinic deficiency	10311
Anaemia & haematinic deficiency	31214
Anaemia & haematinic deficiency	54738
Anaemia & haematinic deficiency	21335
Anaemia & haematinic deficiency	24953
Anaemia & haematinic deficiency	15913
Anaemia & haematinic deficiency	4566
Anaemia & haematinic deficiency	4647
Anaemia & haematinic deficiency	12329
Anaemia & haematinic deficiency	83476
Anaemia & haematinic deficiency	92968
Anaemia & haematinic deficiency	22890
Anaemia & haematinic deficiency	10817
Anaemia & haematinic deficiency	23875
Anaemia & haematinic deficiency	44420
Anaemia & haematinic deficiency	19130
Anaemia & haematinic deficiency	56756
Anaemia & haematinic deficiency	60186
Anaemia & haematinic deficiency	94921
Anaemia & haematinic deficiency	4078
Anaemia & haematinic deficiency	2515
Anaemia & haematinic deficiency	7841
Anaemia & haematinic deficiency	795
Anaemia & haematinic deficiency	27726
Anaemia & haematinic deficiency	21127
Anaemia & haematinic deficiency	33420
Anaemia & haematinic deficiency	4839
Anaemia & haematinic deficiency	9537
Anaemia & haematinic deficiency	18137
Anaemia & haematinic deficiency	19951
Anaemia & haematinic deficiency	57954
Anaemia & haematinic deficiency	40750
Anaemia & haematinic deficiency	15439
Anaemia & haematinic deficiency	11961
Anaemia & haematinic deficiency	2464
Anaemia & haematinic deficiency	29486
Anaemia & haematinic deficiency	32953
Anaemia & haematinic deficiency	2482
Anaemia & haematinic deficiency	6028
Anaemia & haematinic deficiency	31270
Anaemia & haematinic deficiency	4080
Anaemia & haematinic deficiency	36634
Anaemia & haematinic deficiency	37082
Anaemia & haematinic deficiency	55481
Anaemia & haematinic deficiency	56114
Anaemia & haematinic deficiency	3981
Anaemia & haematinic deficiency	42117
Anaemia & haematinic deficiency	51489
Anaemia & haematinic deficiency	22715
Anaemia & haematinic deficiency	56348
Anaemia & haematinic deficiency	2452
Anaemia & haematinic deficiency	64601
Anaemia & haematinic deficiency	70835
Anaemia & haematinic deficiency	58136
Anaemia & haematinic deficiency	100576
Anaemia & haematinic deficiency	92106
Anaemia & haematinic deficiency	57274
Anaemia & haematinic deficiency	10506
Anaemia & haematinic deficiency	26327
Anaemia & haematinic deficiency	8054
Anaemia & haematinic deficiency	3326
Anaemia & haematinic deficiency	1171
Anaemia & haematinic deficiency	31405
Anaemia & haematinic deficiency	46733
Anaemia & haematinic deficiency	4666
Anaemia & haematinic deficiency	23519
Anaemia & haematinic deficiency	69964
Anaemia & haematinic deficiency	32937
Anaemia & haematinic deficiency	31370
Anaemia & haematinic deficiency	57397
Anaemia & haematinic deficiency	27771
Anaemia & haematinic deficiency	3818
Anaemia & haematinic deficiency	39944
Anaemia & haematinic deficiency	49182
Anaemia & haematinic deficiency	57575
Anaemia & haematinic deficiency	31734
Anaemia & haematinic deficiency	39876
Anaemia & haematinic deficiency	57897
Anaemia & haematinic deficiency	43367
Anaemia & haematinic deficiency	38327
Anaemia & haematinic deficiency	67088
Anaemia & haematinic deficiency	63936
Anaemia & haematinic deficiency	99308
Anaemia & haematinic deficiency	94214
Anaemia & haematinic deficiency	52522
Anaemia & haematinic deficiency	15314
Anaemia & haematinic deficiency	39967
Anaemia & haematinic deficiency	18631
Anaemia & haematinic deficiency	37539
Anaemia & haematinic deficiency	15422
Anaemia & haematinic deficiency	69027
Anaemia & haematinic deficiency	37320
Anaemia & haematinic deficiency	102848
Anaemia & haematinic deficiency	69379
Anaemia & haematinic deficiency	15658
Anaemia & haematinic deficiency	16108
Anaemia & haematinic deficiency	43166
Anaemia & haematinic deficiency	57859
Anaemia & haematinic deficiency	66239
Anaemia & haematinic deficiency	34953
Anaemia & haematinic deficiency	21723
Anaemia & haematinic deficiency	41142
Anaemia & haematinic deficiency	68087
Anaemia & haematinic deficiency	3265
Anaemia & haematinic deficiency	15936
Anaemia & haematinic deficiency	41699
Anaemia & haematinic deficiency	31550
Anaemia & haematinic deficiency	47225
Anaemia & haematinic deficiency	94387
Anaemia & haematinic deficiency	2743
Anaemia & haematinic deficiency	30637
Anaemia & haematinic deficiency	48145
Anaemia & haematinic deficiency	16052
Anaemia & haematinic deficiency	12176
Anaemia & haematinic deficiency	16929
Anaemia & haematinic deficiency	25394
Anaemia & haematinic deficiency	34934
Anaemia & haematinic deficiency	58695
Anaemia & haematinic deficiency	28768
Anaemia & haematinic deficiency	739
Anaemia & haematinic deficiency	25876
Anaemia & haematinic deficiency	35160
Anaemia & haematinic deficiency	71840
Anaemia & haematinic deficiency	4858
Anaemia & haematinic deficiency	47952
Anaemia & haematinic deficiency	35092
Anaemia & haematinic deficiency	53783
Anaemia & haematinic deficiency	53846
Anaemia & haematinic deficiency	99917
Anaemia & haematinic deficiency	100388
Anaemia & haematinic deficiency	111962
Anaemia & haematinic deficiency	31205
Anaemia & haematinic deficiency	51169
Anaemia & haematinic deficiency	9029
