Deficit	medcode
Hypertension	2666
Hypertension	10632
Hypertension	16565
Hypertension	27511
Hypertension	21826
Hypertension	3425
Hypertension	18590
Hypertension	12680
Hypertension	5513
Hypertension	22333
Hypertension	4344
Hypertension	27634
Hypertension	34108
Hypertension	10961
Hypertension	10976
Hypertension	41229
Hypertension	6702
Hypertension	204
Hypertension	799
Hypertension	15377
Hypertension	1894
Hypertension	4372
Hypertension	83473
Hypertension	10818
Hypertension	15106
Hypertension	7329
Hypertension	31755
Hypertension	73293
Hypertension	57288
Hypertension	51635
Hypertension	34744
Hypertension	16059
Hypertension	31387
Hypertension	31341
Hypertension	42229
Hypertension	7057
Hypertension	102458
Hypertension	97533
