Deficit	medcode
Osteoporosis	17909
Osteoporosis	23170
Osteoporosis	26060
Osteoporosis	11603
Osteoporosis	37646
Osteoporosis	36644
Osteoporosis	34129
Osteoporosis	48962
Osteoporosis	26876
Osteoporosis	38903
Osteoporosis	41376
Osteoporosis	26292
Osteoporosis	70233
Osteoporosis	39596
Osteoporosis	28882
Osteoporosis	18265
Osteoporosis	65163
Osteoporosis	92887
Osteoporosis	277
Osteoporosis	14967
Osteoporosis	16307
Osteoporosis	9700
Osteoporosis	40428
Osteoporosis	62702
Osteoporosis	24093
Osteoporosis	70349
Osteoporosis	93655
Osteoporosis	54232
Osteoporosis	31580
Osteoporosis	3346
Osteoporosis	16857
Osteoporosis	25650
Osteoporosis	34798
Osteoporosis	39334
Osteoporosis	46894
Osteoporosis	27597
Osteoporosis	17377
Osteoporosis	12673
Osteoporosis	38395
Osteoporosis	4013
Osteoporosis	44986
Osteoporosis	57301
Osteoporosis	41755
Osteoporosis	18825
Osteoporosis	7438
