Deficit	medcode
Fragility fracture	18731
Fragility fracture	17936
Fragility fracture	19235
Fragility fracture	5742
Fragility fracture	33624
Fragility fracture	28464
Fragility fracture	63189
Fragility fracture	8719
Fragility fracture	44594
Fragility fracture	43403
Fragility fracture	55386
Fragility fracture	46959
Fragility fracture	39322
Fragility fracture	6660
Fragility fracture	6942
Fragility fracture	107358
Fragility fracture	16895
Fragility fracture	5526
Fragility fracture	30352
Fragility fracture	48772
Fragility fracture	38728
Fragility fracture	11543
Fragility fracture	45736
Fragility fracture	5841
Fragility fracture	19048
Fragility fracture	4013
Fragility fracture	11503
Fragility fracture	93497
Fragility fracture	57301
Fragility fracture	8255
Fragility fracture	15613
Fragility fracture	27575
Fragility fracture	27654
Fragility fracture	24672
Fragility fracture	53337
Fragility fracture	54299
Fragility fracture	27404
Fragility fracture	39816
Fragility fracture	28524
Fragility fracture	11770
Fragility fracture	41138
Fragility fracture	62047
Fragility fracture	3888
Fragility fracture	42968
Fragility fracture	8266
Fragility fracture	61150
Fragility fracture	28133
Fragility fracture	12406
Fragility fracture	10990
Fragility fracture	8613
Fragility fracture	35849
Fragility fracture	44059
Fragility fracture	73788
Fragility fracture	5381
Fragility fracture	11277
Fragility fracture	35260
Fragility fracture	6825
Fragility fracture	18299
Fragility fracture	343
Fragility fracture	28708
Fragility fracture	6074
Fragility fracture	199
Fragility fracture	6213
Fragility fracture	17952
Fragility fracture	54780
Fragility fracture	8891
Fragility fracture	2225
Fragility fracture	38489
Fragility fracture	39984
Fragility fracture	69919
Fragility fracture	36391
Fragility fracture	17019
Fragility fracture	34351
Fragility fracture	33957
Fragility fracture	34078
Fragility fracture	49209
Fragility fracture	62966
Fragility fracture	50727
Fragility fracture	38878
Fragility fracture	5301
Fragility fracture	19117
Fragility fracture	45141
Fragility fracture	29145
Fragility fracture	51216
Fragility fracture	8648
Fragility fracture	44735
Fragility fracture	61733
Fragility fracture	67633
Fragility fracture	71282
Fragility fracture	39396
Fragility fracture	28965
Fragility fracture	8243
Fragility fracture	18273
Fragility fracture	38054
Fragility fracture	520
Fragility fracture	33719
Fragility fracture	24587
Fragility fracture	40267
Fragility fracture	58720
Fragility fracture	93374
