Deficit	medcode
Memory & cognitive problems	5931
Memory & cognitive problems	1993
Memory & cognitive problems	67163
Memory & cognitive problems	1713
Memory & cognitive problems	7674
Memory & cognitive problems	52947
Memory & cognitive problems	53146
Memory & cognitive problems	53014
Memory & cognitive problems	52948
Memory & cognitive problems	53125
Memory & cognitive problems	52825
Memory & cognitive problems	52800
Memory & cognitive problems	52801
Memory & cognitive problems	52805
Memory & cognitive problems	53016
Memory & cognitive problems	26142
Memory & cognitive problems	55023
Memory & cognitive problems	12710
Memory & cognitive problems	22802
Memory & cognitive problems	100917
Memory & cognitive problems	94164
Memory & cognitive problems	85853
Memory & cognitive problems	83576
Memory & cognitive problems	89036
Memory & cognitive problems	89037
Memory & cognitive problems	65235
Memory & cognitive problems	44341
Memory & cognitive problems	30641
Memory & cognitive problems	40805
Memory & cognitive problems	33707
Memory & cognitive problems	7323
Memory & cognitive problems	15165
Memory & cognitive problems	42602
Memory & cognitive problems	49513
Memory & cognitive problems	30032
Memory & cognitive problems	27677
Memory & cognitive problems	38438
Memory & cognitive problems	44674
Memory & cognitive problems	18386
Memory & cognitive problems	21887
Memory & cognitive problems	41089
Memory & cognitive problems	37015
Memory & cognitive problems	19477
Memory & cognitive problems	43089
Memory & cognitive problems	56912
Memory & cognitive problems	55467
Memory & cognitive problems	43292
Memory & cognitive problems	42279
Memory & cognitive problems	54505
Memory & cognitive problems	25386
Memory & cognitive problems	6387
Memory & cognitive problems	6061
Memory & cognitive problems	7664
Memory & cognitive problems	49263
Memory & cognitive problems	38678
Memory & cognitive problems	30706
Memory & cognitive problems	29386
Memory & cognitive problems	6578
Memory & cognitive problems	46488
Memory & cognitive problems	11175
Memory & cognitive problems	8934
Memory & cognitive problems	31016
Memory & cognitive problems	55313
Memory & cognitive problems	19393
Memory & cognitive problems	12621
Memory & cognitive problems	28402
Memory & cognitive problems	54106
Memory & cognitive problems	37014
Memory & cognitive problems	9509
Memory & cognitive problems	41185
Memory & cognitive problems	26270
Memory & cognitive problems	64267
Memory & cognitive problems	4693
Memory & cognitive problems	53446
Memory & cognitive problems	11936
Memory & cognitive problems	1917
Memory & cognitive problems	16797
Memory & cognitive problems	32057
Memory & cognitive problems	7572
Memory & cognitive problems	5095
Memory & cognitive problems	4284
