Deficit	medcode
Visual impairment	5518
Visual impairment	3268
Visual impairment	1622
Visual impairment	32392
Visual impairment	25888
Visual impairment	13107
Visual impairment	52630
Visual impairment	101881
Visual impairment	64196
Visual impairment	6547
Visual impairment	9931
Visual impairment	2746
Visual impairment	510
Visual impairment	29085
Visual impairment	38641
Visual impairment	67126
Visual impairment	297
Visual impairment	106329
Visual impairment	44260
Visual impairment	69278
Visual impairment	49554
Visual impairment	22871
Visual impairment	44982
Visual impairment	25591
Visual impairment	37086
Visual impairment	8237
Visual impairment	7890
Visual impairment	36035
Visual impairment	38096
Visual impairment	5343
Visual impairment	118
Visual impairment	2762
Visual impairment	10343
Visual impairment	26205
Visual impairment	2789
Visual impairment	38393
Visual impairment	4424
Visual impairment	29168
Visual impairment	28765
Visual impairment	1776
Visual impairment	27424
Visual impairment	10878
Visual impairment	296
Visual impairment	57805
Visual impairment	59125
Visual impairment	4242
Visual impairment	7257
Visual impairment	45190
Visual impairment	7793
Visual impairment	58078
Visual impairment	10010
Visual impairment	47566
Visual impairment	48148
Visual impairment	23631
Visual impairment	5325
Visual impairment	22022
Visual impairment	6876
Visual impairment	33793
Visual impairment	51162
Visual impairment	49085
Visual impairment	29770
Visual impairment	3897
Visual impairment	50638
Visual impairment	48228
Visual impairment	61325
Visual impairment	19371
Visual impairment	46169
Visual impairment	71291
Visual impairment	10659
Visual impairment	60883
Visual impairment	58120
Visual impairment	66093
Visual impairment	94430
Visual impairment	33482
Visual impairment	24467
Visual impairment	44487
Visual impairment	703
Visual impairment	4358
Visual impairment	15589
Visual impairment	6317
Visual impairment	44294
Visual impairment	40158
Visual impairment	8367
Visual impairment	1990
Visual impairment	55108
Visual impairment	42262
Visual impairment	47956
Visual impairment	60401
Visual impairment	3851
Visual impairment	38000
Visual impairment	1444
Visual impairment	45610
Visual impairment	22373
Visual impairment	6055
Visual impairment	32467
Visual impairment	42452
Visual impairment	70201
Visual impairment	96926
Visual impairment	98637
Visual impairment	4148
Visual impairment	299
Visual impairment	59914
Visual impairment	18089
Visual impairment	11255
Visual impairment	88738
Visual impairment	53690
Visual impairment	58787
