Deficit	medcode
Ischaemic heart disease	240
Ischaemic heart disease	241
Ischaemic heart disease	374
Ischaemic heart disease	1414
Ischaemic heart disease	1430
Ischaemic heart disease	1676
Ischaemic heart disease	1678
Ischaemic heart disease	2901
Ischaemic heart disease	4017
Ischaemic heart disease	5413
Ischaemic heart disease	5904
Ischaemic heart disease	6336
Ischaemic heart disease	7347
Ischaemic heart disease	8246
Ischaemic heart disease	8568
Ischaemic heart disease	8942
Ischaemic heart disease	10260
Ischaemic heart disease	10444
Ischaemic heart disease	10562
Ischaemic heart disease	12804
Ischaemic heart disease	14658
Ischaemic heart disease	15373
Ischaemic heart disease	15754
Ischaemic heart disease	18135
Ischaemic heart disease	19542
Ischaemic heart disease	21844
Ischaemic heart disease	22383
Ischaemic heart disease	23078
Ischaemic heart disease	23708
Ischaemic heart disease	24540
Ischaemic heart disease	25842
Ischaemic heart disease	26973
Ischaemic heart disease	27951
Ischaemic heart disease	27977
Ischaemic heart disease	28138
Ischaemic heart disease	28554
Ischaemic heart disease	29300
Ischaemic heart disease	29421
Ischaemic heart disease	32450
Ischaemic heart disease	34803
Ischaemic heart disease	35287
Ischaemic heart disease	35713
Ischaemic heart disease	36423
Ischaemic heart disease	36523
Ischaemic heart disease	36854
Ischaemic heart disease	37657
Ischaemic heart disease	39546
Ischaemic heart disease	39693
Ischaemic heart disease	40399
Ischaemic heart disease	46017
Ischaemic heart disease	52517
Ischaemic heart disease	61670
Ischaemic heart disease	94203
Ischaemic heart disease	95550
