Deficit	medcode
Peptic ulcer	2812
Peptic ulcer	4643
Peptic ulcer	55996
Peptic ulcer	45981
Peptic ulcer	63718
Peptic ulcer	23688
Peptic ulcer	20677
Peptic ulcer	64014
Peptic ulcer	94104
Peptic ulcer	33914
Peptic ulcer	5928
Peptic ulcer	4741
Peptic ulcer	37268
Peptic ulcer	55350
Peptic ulcer	56005
Peptic ulcer	55933
Peptic ulcer	5283
Peptic ulcer	24021
Peptic ulcer	1262
Peptic ulcer	24040
Peptic ulcer	64165
Peptic ulcer	30054
Peptic ulcer	14671
Peptic ulcer	71403
Peptic ulcer	109546
Peptic ulcer	24342
Peptic ulcer	44324
Peptic ulcer	18654
Peptic ulcer	48946
Peptic ulcer	63582
Peptic ulcer	53336
Peptic ulcer	67356
Peptic ulcer	64556
Peptic ulcer	44309
Peptic ulcer	63001
Peptic ulcer	89023
Peptic ulcer	97993
Peptic ulcer	53081
Peptic ulcer	73338
Peptic ulcer	57958
Peptic ulcer	36461
Peptic ulcer	44284
Peptic ulcer	29771
Peptic ulcer	352
Peptic ulcer	18027
Peptic ulcer	44335
Peptic ulcer	18001
Peptic ulcer	18324
Peptic ulcer	48730
Peptic ulcer	53822
Peptic ulcer	53797
Peptic ulcer	9853
Peptic ulcer	33438
Peptic ulcer	48951
Peptic ulcer	37643
Peptic ulcer	71881
Peptic ulcer	44073
Peptic ulcer	52138
Peptic ulcer	51406
Peptic ulcer	22918
Peptic ulcer	29317
Peptic ulcer	89234
Peptic ulcer	85989
Peptic ulcer	53669
Peptic ulcer	71150
Peptic ulcer	2814
Peptic ulcer	657
Peptic ulcer	93436
Peptic ulcer	71904
Peptic ulcer	28366
Peptic ulcer	65737
Peptic ulcer	15175
Peptic ulcer	670
Peptic ulcer	32856
Peptic ulcer	68661
Peptic ulcer	44637
Peptic ulcer	5521
Peptic ulcer	45304
Peptic ulcer	67711
Peptic ulcer	50048
Peptic ulcer	40997
Peptic ulcer	99430
Peptic ulcer	53126
Peptic ulcer	37620
Peptic ulcer	70390
Peptic ulcer	69663
Peptic ulcer	50497
Peptic ulcer	67082
Peptic ulcer	70456
Peptic ulcer	64111
Peptic ulcer	60249
Peptic ulcer	19928
Peptic ulcer	23082
Peptic ulcer	96628
Peptic ulcer	63482
Peptic ulcer	15403
Peptic ulcer	18319
Peptic ulcer	45278
Peptic ulcer	41271
