Deficit	medcode
Diabetes	13099
Diabetes	13103
Diabetes	13097
Diabetes	35116
Diabetes	13604
Diabetes	14050
Diabetes	3550
Diabetes	1684
Diabetes	8842
Diabetes	13196
Diabetes	11047
Diabetes	2378
Diabetes	8836
Diabetes	6125
Diabetes	12307
Diabetes	13067
Diabetes	22823
Diabetes	10977
Diabetes	28873
Diabetes	95994
Diabetes	18311
Diabetes	17478
Diabetes	12213
Diabetes	63412
Diabetes	8306
Diabetes	11018
Diabetes	18662
Diabetes	64142
Diabetes	11094
Diabetes	13197
Diabetes	35383
Diabetes	28574
Diabetes	11041
Diabetes	11348
Diabetes	711
Diabetes	38986
Diabetes	24490
Diabetes	14803
Diabetes	50972
Diabetes	1682
Diabetes	53200
Diabetes	54856
Diabetes	38617
Diabetes	42505
Diabetes	21482
Diabetes	72345
Diabetes	15690
Diabetes	42567
Diabetes	68843
Diabetes	59288
Diabetes	16502
Diabetes	13279
Diabetes	35107
Diabetes	33254
Diabetes	47377
Diabetes	34283
Diabetes	16230
Diabetes	39317
Diabetes	61523
Diabetes	22573
Diabetes	35399
Diabetes	65025
Diabetes	1647
Diabetes	46963
Diabetes	49276
Diabetes	52283
Diabetes	52104
Diabetes	44443
Diabetes	60499
Diabetes	6509
Diabetes	6791
Diabetes	31310
Diabetes	56448
Diabetes	24694
Diabetes	41716
Diabetes	57621
Diabetes	44440
Diabetes	44260
Diabetes	39809
Diabetes	46290
Diabetes	64449
Diabetes	4513
Diabetes	52303
Diabetes	50429
Diabetes	55842
Diabetes	62146
Diabetes	34912
Diabetes	40401
Diabetes	17262
Diabetes	8403
Diabetes	29979
Diabetes	72320
Diabetes	45467
Diabetes	59365
Diabetes	43785
Diabetes	69278
Diabetes	54212
Diabetes	24693
Diabetes	40962
Diabetes	18278
Diabetes	33969
Diabetes	26108
Diabetes	43453
Diabetes	36695
Diabetes	1549
Diabetes	47582
Diabetes	47649
Diabetes	42831
Diabetes	47650
Diabetes	18683
Diabetes	69993
Diabetes	18387
Diabetes	35288
Diabetes	40682
Diabetes	69676
Diabetes	68105
Diabetes	46301
Diabetes	10418
Diabetes	39070
Diabetes	49554
Diabetes	54008
Diabetes	30323
Diabetes	30294
Diabetes	10692
Diabetes	40837
Diabetes	22871
Diabetes	55239
Diabetes	95636
Diabetes	758
Diabetes	18777
Diabetes	47321
Diabetes	34268
Diabetes	65267
Diabetes	49074
Diabetes	12736
Diabetes	18496
Diabetes	25627
Diabetes	47954
Diabetes	62674
Diabetes	18425
Diabetes	12640
Diabetes	46917
Diabetes	44982
Diabetes	37806
Diabetes	59253
Diabetes	35385
Diabetes	1407
Diabetes	26054
Diabetes	18390
Diabetes	32627
Diabetes	51756
Diabetes	25591
Diabetes	63690
Diabetes	61122
Diabetes	33343
Diabetes	10098
Diabetes	45491
Diabetes	64357
Diabetes	52212
Diabetes	100292
Diabetes	17067
Diabetes	31790
Diabetes	48078
Diabetes	35785
Diabetes	24571
Diabetes	39420
Diabetes	37315
Diabetes	1323
Diabetes	7069
Diabetes	3837
Diabetes	10755
Diabetes	11626
Diabetes	1776
Diabetes	10659
Diabetes	24327
